Topic,Count,Name,Representation,Representative_Docs
10,40,10_house_peanut butter_comic_butter,"['house', 'peanut butter', 'comic', 'butter', 'stuart', 'peanut', 'lost', 'childhood', 'raiders', 'discussing']","['Story problem? You, oh, Amy, what a dewy-eyed moon-calf you are. Raiders of the Lost Ark is the love child of Steven Spielberg and George Lucas, two of the most gifted filmmakers of our generation. I’ve watched it 36 times, except for the snake scene and the face-melting scene, which I can only watch when it’s still light out, but, I defy you to find a story problem. Here’s my jaw, drop it.', 'Well, you sit back, relax and enjoy a beloved childhood memory. You see that cabin there? I read they were illegally squatting on Indian land. Yeah. Personally, I think what we did to the Native Americans was wrong, but this is your favourite show, not mine. Oh, look at little Laura Ingalls, eating that peanut butter sandwich. Peanut butter? Huh? That’s strange, since peanut butter wasn’t introduced until the early 1900s. If I knew this show was about time travel, I would have watched it much sooner.', 'Well, you sit back, relax and enjoy a beloved childhood memory. You see that cabin there? I read they were illegally squatting on Indian land. Yeah. Personally, I think what we did to the Native Americans was wrong, but this is your favourite show, not mine. Oh, look at little Laura Ingalls, eating that peanut butter sandwich. Peanut butter? Huh? That’s strange, since peanut butter wasn’t introduced until the early 1900s. If I knew this show was about time travel, I would have watched it much sooner.']"
11,39,11_guy_laptop_best_buy,"['guy', 'laptop', 'best', 'buy', 'best buy', 'yeah', 'using', 'player', 'blu ray', 'furthermore']","['I know how you feel. The Best Buy by my house is only the third best Best Buy. They have the best buys, but having the best buys isn’t the only thing that makes a Best Buy the best Best Buy.', 'Oh, oh, the guy. Oh, pardon me. I didn’t realize you’d spoken to the guy. Yeah, tell me, did the guy choose one with a 4K display and a Thunderbolt port?', 'Oh, oh, the guy. Oh, pardon me. I didn’t realize you’d spoken to the guy. Yeah, tell me, did the guy choose one with a 4K display and a Thunderbolt port?']"
12,38,12_excellent_screw_classic_luck,"['excellent', 'screw', 'classic', 'luck', 'good luck', 'worst', 'board', 'begin', 'related', 'oh boy']","['Very well. And good luck, I’m a pretty laid-back guy.', 'Excellent. Excellent. And on a related point, you’re going down, punk.', 'Excellent. Excellent. And on a related point, you’re going down, punk.']"
13,38,13_trains_railway_train_nostril,"['trains', 'railway', 'train', 'nostril', 'music', 'eyes', 'gonna', 'gets', 'know gonna', 'know difficult']","['Look at the 4K resolution. Next time we Skype, I’m gonna count all those nostril hairs.', 'Oh, no. It’s not just me. No. The railway is four hours from the nearest airport, and guess who gets to drive me.', 'Oh, no. It’s not just me. No. The railway is four hours from the nearest airport, and guess who gets to drive me.']"
14,37,14_birthday_balloon_wizarding world_wizarding,"['birthday', 'balloon', 'wizarding world', 'wizarding', 'girl', 'pick', 'surprise', '13', 'didn like', 'late got']","['It was. Bernadette had her baby, I made it to Wizarding World, and now it is time to complete your birthday celebration. Hankius pankius.', 'It was. Bernadette had her baby, I made it to Wizarding World, and now it is time to complete your birthday celebration. Hankius pankius.', ' Birthday girl. Birthday girl. Birthday girl.']"
15,35,15_learned_game_finally_bad,"['learned', 'game', 'finally', 'bad', 'better', 'thing ve', 'suggesting', 'just thought', 'getting better', 'months']","['But after months of struggling, I’m finally making progress.', 'Do you realize that teaching is the first thing I’ve failed at since my ill-fated attempt to complete a chin-up in March of 1989?', 'Do you realize that teaching is the first thing I’ve failed at since my ill-fated attempt to complete a chin-up in March of 1989?']"
16,32,16_table_dinner_square_breakfast,"['table', 'dinner', 'square', 'breakfast', 'shall', 'tickets', 'food', 'check', 'eat', 'bed breakfast']","['This table, it’s in square centimetres. I read it as square metres. You know what that means?', 'For starters, a bed-and-breakfast forces you to eat with strangers at your table.', 'For starters, a bed-and-breakfast forces you to eat with strangers at your table.']"
17,30,17_step_point_english_oh wait,"['step', 'point', 'english', 'oh wait', 'hate', 'realize', 'big', 'speaking', 'wouldn wouldn', 'saying']","['That’s a big step.', 'Oh, I am. And you realize what the next step is?', 'Oh, I am. And you realize what the next step is?']"
18,30,18_stronger_way_father_yes yeah,"['stronger', 'way', 'father', 'yes yeah', 'man know', 'good point', 'use right', 'harder', 'funny', 'clause']","['That’s a good point. You know, I’m a lot like Gandalf the Grey. He fought the Balrog and emerged stronger than ever as Gandalf the White. I was robbed of my phone and pants, and I, too, came back stronger. And whiter, too, ’cause I wasn’t in direct sunlight for six weeks.', 'Oh, that seems overly harsh. I mean, you gave in to a human weakness, you didn’t kill a man. You know, it’s a tad old-school, but my father was not one to spare the rod when my brother would sneak into his truck and drink his driving whiskey.', 'Oh, that seems overly harsh. I mean, you gave in to a human weakness, you didn’t kill a man. You know, it’s a tad old-school, but my father was not one to spare the rod when my brother would sneak into his truck and drink his driving whiskey.']"
19,30,19_beverage_drink_offer_know don,"['beverage', 'drink', 'offer', 'know don', 'hat', 'candle', 'soldier', 'fail', 'wearing', 'guest']","['If you’re referring to the beverage, you know I don’t drink. If you’re referring to the hat you don while wearing a nightshirt and holding a candle, I have one.', 'Point of order. As you’re in distress, it would be customary for me to offer you a hot beverage. But I’m a guest in your home, so it would be customary for you to offer me a beverage. How do you want to proceed vis-a-vis beverages?', 'Point of order. As you’re in distress, it would be customary for me to offer you a hot beverage. But I’m a guest in your home, so it would be customary for you to offer me a beverage. How do you want to proceed vis-a-vis beverages?']"
20,29,20_dare_like like_yes like_eh,"['dare', 'like like', 'yes like', 'eh', 'like', 'yes', 'oh', '', '', '']","['Yeh, why? Eh, why? Oh, that’s why.', 'How dare you?', 'How dare you?']"
21,29,21_gift_treasure_don like_gave,"['gift', 'treasure', 'don like', 'gave', 'holiday', 'thoughtful', 'hope', 've thinking', 'happy', 'impossible']","['I’ve been thinking about what happened, and I hope this gift will make things better.', 'Well, I don’t know what to say. This is the most thoughtful gift that anyone’s ever given me. And that’s including an amazing gift that I gave myself earlier today.', 'Well, I don’t know what to say. This is the most thoughtful gift that anyone’s ever given me. And that’s including an amazing gift that I gave myself earlier today.']"
22,29,22_eat_food_meal_oh won,"['eat', 'food', 'meal', 'oh won', 'eats', 'trash', 'figured', 'job', 'event', 'eating']","['Hmm. Eat one of your Luna bars. Very often when women think they’re angry, they’re really just hungry.', 'That is true. Did you know I figured out in which order I would eat all my friends in the event of an apocalypse?', 'That is true. Did you know I figured out in which order I would eat all my friends in the event of an apocalypse?']"
23,28,23_texas_cheer_social_tricky,"['texas', 'cheer', 'social', 'tricky', 'll tell', 'sweat', 'unhygienic', 'entertainment', 'eastern', 'available']","['Well, then you might want to avoid East Texas.', 'Well, then you might want to avoid East Texas.', 'Texas.']"
24,28,24_brain_attempting_experiment_particles,"['brain', 'attempting', 'experiment', 'particles', 'work', 'hint', 'house', 'admittedly', 'normally', 'll know']","['It’s not. I’ll have you know, in the field of physics, we work with particles so small, they make fat jokes about the locus coeruleus, i.e., when your locus coeruleus sits around the house, it sits around the house.', 'I see what you’re doing. You’re attempting to build on the work of Ebbinghaus by triggering an involuntary memory of me playing that game, admittedly the happiest 600 hours of my childhood, but it won’t work.', 'I see what you’re doing. You’re attempting to build on the work of Ebbinghaus by triggering an involuntary memory of me playing that game, admittedly the happiest 600 hours of my childhood, but it won’t work.']"
25,28,25_hello_knock_hey_did hello,"['hello', 'knock', 'hey', 'did hello', 'expect', 'evening', 'great', 'right', 'didn', 'did']","['Hello.', 'Well, hello.', 'Hello.']"
26,28,26_really_course_true_think really,"['really', 'course', 'true', 'think really', 'yes think', 'super', 'smart', 'think', 'probably', 'think think']","['Really?', 'Yes, that’s what I think. And I’m super smart, so it’s probably true.', 'Yes, that’s what I think. And I’m super smart, so it’s probably true.']"
27,27,27_thank thank_thank_thank oh_oh thank,"['thank thank', 'thank', 'thank oh', 'oh thank', 'congratulations', 'glad', 'wonderful', 'thanks', 'oh', '']","['Thank you.', 'Thank you.', 'Thank you.']"
28,27,28_yes yes_yes_exactly_yeah yeah,"['yes yes', 'yes', 'exactly', 'yeah yeah', 'page', 'yeah', 'right right', 'told', 'right', '']","['Yes.', 'Yes.', 'Yes.']"
29,26,29_penny_leonard_leonard penny_given,"['penny', 'leonard', 'leonard penny', 'given', 'live', 'heads', 'just leonard', 'buddy', 'knows', 'voyage']","['Oh, I know, but just, Leonard and Penny think we’re doing it, and I don’t want to disappoint them.', 'I fear Penny is being unfaithful to Leonard.', 'I fear Penny is being unfaithful to Leonard.']"
30,25,30_subject_trying manipulate_changing_function,"['subject', 'trying manipulate', 'changing', 'function', 'wait', 'manipulate', 'topics', 'safe', 'wait know', 'trying']","['Is it me, or are you purposely changing the subject?', 'I am. You know, and in an effort to reduce awkwardness as we learn how to function as friends, I printed out a list of safe topics for polite conversation.', 'I am. You know, and in an effort to reduce awkwardness as we learn how to function as friends, I printed out a list of safe topics for polite conversation.']"
31,24,31_welcome_body language_acting_voice,"['welcome', 'body language', 'acting', 'voice', 'language', 'body', 'just like', 'tall', 'don worry', 'drown']","['Couple things, actually. Your tone of voice, your body language…', 'Much better than I expected. She even gave me some helpful tips about acting and body language. Watch. Welcome to my world. Not welcome to my world. Welcome. Not welcome.', 'Much better than I expected. She even gave me some helpful tips about acting and body language. Watch. Welcome to my world. Not welcome to my world. Welcome. Not welcome.']"
32,24,32_invited_friends_excited_ve mentioned,"['invited', 'friends', 'excited', 've mentioned', 'everybody', 'invite', 'attached', 'oh sorry', 'years', 'yeah oh']","['Yeah, oh, I’m sorry. I should’ve mentioned this earlier. You’re not invited.', 'Your friends? Well, I think you mean my friends. And why wasn’t I invited to this?', 'Your friends? Well, I think you mean my friends. And why wasn’t I invited to this?']"
33,24,33_mars_planet_power_earth,"['mars', 'planet', 'power', 'earth', 'italian', 'plant', 'flags uh', 'humans', 'export', 'wouldn']","['They would, wouldn’t they? We could give them cool Martian names. And we could teach them about Martian history. Like, who planted those flags? And, uh, where did that copy of Mars Attacks! come from?', 'Oh, I know. We could be the first to plant a flag on Mars. We could be the first to watch Mars Attacks! on Mars. We could be the first to say good lord, what on Mars are you talking about?', 'Oh, I know. We could be the first to plant a flag on Mars. We could be the first to watch Mars Attacks! on Mars. We could be the first to say good lord, what on Mars are you talking about?']"
34,24,34_attitude_helpful_yeah okay_sure,"['attitude', 'helpful', 'yeah okay', 'sure', 'granted', 'quite', 'support', 'oh wait', 'rest', 'things']","['Well, not with that attitude.', 'Well, yeah, okay, sure. But which one?', 'Well, yeah, okay, sure. But which one?']"
35,24,35_angry_upset_sport_stupid,"['angry', 'upset', 'sport', 'stupid', 'mad', 'emotional', 'person', 'strong', 'gold', 'complain']","['Yeah, well I am angry. And you telling me not to be angry makes me angry. And do you know how hearing myself say the word angry over and over makes me feel?', 'Oh, I don’t mind, I’m very good at complaining. If it were an Olympic sport, I’d complain about what a stupid sport it is and then I’d take home the gold.', 'Oh, I don’t mind, I’m very good at complaining. If it were an Olympic sport, I’d complain about what a stupid sport it is and then I’d take home the gold.']"
36,23,36_raj_poppycock_moving_people just,"['raj', 'poppycock', 'moving', 'people just', 'replaced', 'old room', 'named', 'wore', 'prepared', 'teaching']","['I mean, it’s unfair; people just assume I’m going to be upset by Raj moving into my old room.', 'A housewarming gift for Raj.', 'A housewarming gift for Raj.']"
37,22,37_right right_right_understanding_right ll,"['right right', 'right', 'understanding', 'right ll', 'try', 'set', 'ready', 'question', 'thank', 'll']","['All right.', 'All right.', 'All right, name your price.']"
38,22,38_bert_koothrappali_mrs_downstairs,"['bert', 'koothrappali', 'mrs', 'downstairs', 'geology', 'asteroid', 'hope happy', 'lab', 'stuart', 'eyed']","['Stuart, this is Bert from the Caltech geology lab, and this is Mrs. Petrescu from downstairs.', 'Oh, uh, Stuart, Bert from the geology lab, and Mrs. Petrescu from downstairs.', 'Oh, uh, Stuart, Bert from the geology lab, and Mrs. Petrescu from downstairs.']"
39,22,39_actually_answering_easier_actually yes,"['actually', 'answering', 'easier', 'actually yes', 'believe', 'short', 'video', 'application', 'question', 'girl']","['Actually, yes. I do.', 'Actually, as part of the application, I was required to make a short video answering that very question. You want to see it?', 'Actually, as part of the application, I was required to make a short video answering that very question. You want to see it?']"
40,21,40_apartment_want don_complain_single,"['apartment', 'want don', 'complain', 'single', 'environment', 'hungry', 'place', 'hate', 'application', 'know like']","['I am. Yeah, if I’m going to a barren, lifeless environment where the chances of survival are slim to none, I want you there with me. Why don’t we go back to the apartment, and fill out your application?', 'Of course there’s, there’s always your apartment.', 'Of course there’s, there’s always your apartment.']"
41,21,41_step_action_waste time_repeat,"['step', 'action', 'waste time', 'repeat', 'waste', 'amy', 'grief', 'feelings', 'broken', 'head']","['I don’t care. Amy, there was a song I couldn’t get out of my head. Eventually, I realized the song was about you, and like that earworm, I can’t get you out of my heart. So, what I’m trying to say is, you’re my heartworm. The metaphorical kind, not, not the poodle-killing kind.', 'Hello, everyone. Oh, Beverly, good to see you. I’d love to chat, but there’s a line that could start moving any minute, so let’s do this. Amy? A proper apology requires three steps. Step one, an admission of wrongdoing. Amy, I was wrong. Step two, a promise never to repeat said action. Amy, that action will never be repeated, and that’s a promise. Step three, an earnest request for forgiveness. Amy, I hope you can forgive me. And I hope you do it right now, ’cause there’s an Uber waiting downstairs, and I don’t want to repeat this apology nonsense with my driver Ganesh.', 'Hello, everyone. Oh, Beverly, good to see you. I’d love to chat, but there’s a line that could start moving any minute, so let’s do this. Amy? A proper apology requires three steps. Step one, an admission of wrongdoing. Amy, I was wrong. Step two, a promise never to repeat said action. Amy, that action will never be repeated, and that’s a promise. Step three, an earnest request for forgiveness. Amy, I hope you can forgive me. And I hope you do it right now, ’cause there’s an Uber waiting downstairs, and I don’t want to repeat this apology nonsense with my driver Ganesh.']"
42,21,42_hair_list_pet_rate,"['hair', 'list', 'pet', 'rate', 'terrified', 'things make', 'running time', 'hot dog', 'wearing', 'don start']","['Why don’t I let my hair grow out? Um, why don’t I start wearing Birkenstocks and, uh, uh, seeking validation of my opinions by asking can you dig it?', 'I’m sorry. I’m looking for a barber and I’m running out of time. My hair is growing at the rate of 4.6 yoctometers per femtosecond. I mean, if you’re quiet, you can hear it.', 'I’m sorry. I’m looking for a barber and I’m running out of time. My hair is growing at the rate of 4.6 yoctometers per femtosecond. I mean, if you’re quiet, you can hear it.']"
43,21,43_careful_want come_suit_girlfriend,"['careful', 'want come', 'suit', 'girlfriend', 'know ve', 'check', 'friend', 'glad', 'wants', 'want say']","['Oh. Well, suit yourself. Who wants to check me?', 'Careful, Amy. The friend of my enemy’s girlfriend is my enemy.', 'Careful, Amy. The friend of my enemy’s girlfriend is my enemy.']"
44,21,44_defend_want hear_right tried_lose,"['defend', 'want hear', 'right tried', 'lose', 'lecture', 'really don', 'don want', 'tried', 'leave', 'let let']","['I’m doing all right. I tried fencing today.', 'Do we have to? I really don’t want to hear the religious lecture.', 'Do we have to? I really don’t want to hear the religious lecture.']"
45,21,45_spongebob_fight_hagfish_eat,"['spongebob', 'fight', 'hagfish', 'eat', 'll', 'fish', 'let pull', 'juicy', 'dry', 'marine']","['Good. Oh, I watched a video of the hagfish producing mucus, so I’m gonna change my answer and eat SpongeBob.', 'Hey, let’s not pull at that thread. Okay. I’ll fight SpongeBob, because he’s so friendly we’ll just end up tickling each other. Um, I’ll befriend the seal, because he’s trainable, which is the problem I’m having with my current friends. Which means I’ll have to eat the hagfish.', 'Hey, let’s not pull at that thread. Okay. I’ll fight SpongeBob, because he’s so friendly we’ll just end up tickling each other. Um, I’ll befriend the seal, because he’s trainable, which is the problem I’m having with my current friends. Which means I’ll have to eat the hagfish.']"
46,20,46_conference_goodness_let look_lines,"['conference', 'goodness', 'let look', 'lines', 'look oh', 'wonderful', 'fail', 'smell', 'sexual', 'boy']","['At a neurobiology conference? What a mean thing to say.', 'Oh, just let me look. Oh, my goodness. I see quivering black lines. Those must be neurons, oh, they’re so thick and beautiful.', 'Oh, just let me look. Oh, my goodness. I see quivering black lines. Those must be neurons, oh, they’re so thick and beautiful.']"
47,20,47_girlfriend_upset_expect_good thing,"['girlfriend', 'upset', 'expect', 'good thing', 'don want', 'object', 'nagging', 'drew', 'yeah don', 'weirdo']","['Wow. Is that the kind of nagging I can expect now that you’re my girlfriend? Good thing I drew this up.', 'Well, you’re my girlfriend and I don’t want you to be upset. Then again, Wil Wheaton’s my friend and I don’t want him to be upset. Hmm, this is a sticky wicket. What do you think?', 'Well, you’re my girlfriend and I don’t want you to be upset. Then again, Wil Wheaton’s my friend and I don’t want him to be upset. Hmm, this is a sticky wicket. What do you think?']"
48,20,48_door_outside_buttons_waited,"['door', 'outside', 'buttons', 'waited', 'does think', 'underpants', 'keys', 'lock', 'think did', 'gonna learn']","['There’s someone at my door.', 'It’s not an accident. I waited outside your door for twenty minutes.', 'It’s not an accident. I waited outside your door for twenty minutes.']"
49,20,49_miss_bedtime_right yeah_plus,"['miss', 'bedtime', 'right yeah', 'plus', 'equals', 'yeah right', 'hey good', 'good love', 'oh feel', 'love']","['Yeah, I’ll miss you too.', 'I miss you, too.', 'I miss you, too.']"
50,20,50_rats_bleugh_rats rats_,"['rats', 'bleugh', 'rats rats', '', '', '', '', '', '', '']","['Bleugh!', 'Rats!', 'Rats!']"
51,19,51_howard_bernadette_returning_expected,"['howard', 'bernadette', 'returning', 'expected', 'wars', 'hot dog', 'bottles', 'proton', 'forever', 'convinced']","['Howard said I could borrow it, Bernadette said forever.', 'Howard has announced his intention to propose marriage to Bernadette.', 'Howard has announced his intention to propose marriage to Bernadette.']"
52,19,52_stephen_record_word_men,"['stephen', 'record', 'word', 'men', 'july', 'walked', '18', 'fourth july', 'wheels', 'fourth']","['Like when you do a two-hour Fourth of July spectacular and it doesn’t get recorded.', 'Ooh, my friend Stephen just played the word act for 18 points. That’s right, I call him Stephen now, because I checked, and he was not okay with Wheels.', 'Ooh, my friend Stephen just played the word act for 18 points. That’s right, I call him Stephen now, because I checked, and he was not okay with Wheels.']"
53,19,53_ahead say_hear_say say_annoying ahead,"['ahead say', 'hear', 'say say', 'annoying ahead', 'annoying', 'ahead', 'bus', 'word', 'oh got', 'hear oh']","['That nagging tone is helping my anxiety, yeah. But if you could maybe just go ten percent less shrill, that’d really put the zip-a-dee in my doo-dah.', 'No, go ahead, say it. I know what it is. I’ve heard it my whole life. The word’s annoying. Go ahead, say it. Say it. Say I’m annoying.', 'No, go ahead, say it. I know what it is. I’ve heard it my whole life. The word’s annoying. Go ahead, say it. Say it. Say I’m annoying.']"
54,19,54_proud_control_rock_right choice,"['proud', 'control', 'rock', 'right choice', 'going guess', 'know proud', 'piece', 'truly', 'just say', 'touch']","['And a second non-tantalizing piece to use as a control.', 'You know, I’m proud of me, too. I’ve done all my research, I conducted an informal poll, and I’ve arrived at the rock-solid certainty I’ve made the right choice.', 'You know, I’m proud of me, too. I’ve done all my research, I conducted an informal poll, and I’ve arrived at the rock-solid certainty I’ve made the right choice.']"
55,18,55_room_wait wait_old_old room,"['room', 'wait wait', 'old', 'old room', 'struggling', 'bedroom', 'believes', 'beverley', 'fantastic', 'consider']","['Beverley believes I unconsciously consider my old room an escape hatch.', 'Beverley believes I unconsciously consider my old room an escape hatch.', 'Wait, wait, wait, wait, wait. Empty room. Empty room. Empty room. If somebody says come in, I’m gonna freak out.']"
56,18,56_uncomfortable_sex_foreplay_oh just,"['uncomfortable', 'sex', 'foreplay', 'oh just', 'know doesn', 'like extremely', 'physical relationship', 'closure', 'okay oh', 'extremely']","['It’s a physical relationship, too. Hand-holding, hugging, even on hot days. Ow. Okay, here’s a new one. Apparently now we kick each other in the shin under the table. How do you like it when I do it to you? Not so much, huh?', 'All right, let’s start right now. Uh, rule number one, no using sexuality to get your way.', 'All right, let’s start right now. Uh, rule number one, no using sexuality to get your way.']"
57,18,57_monkeys_oh oh_monkey_kill,"['monkeys', 'oh oh', 'monkey', 'kill', '14', 'dip', 'generally', 'challenged', 'pop', 'shoe']","['Yeah, but us monkeys doesn’t pop. Oh, oh, oh, oh, wait, we monkeys, there you go. Hey, when can we start running tests on it?', 'Oh, there it is. It always comes back to monkeys with you. Just monkeys, monkeys, monkeys.', 'Oh, there it is. It always comes back to monkeys with you. Just monkeys, monkeys, monkeys.']"
58,17,58_sign_right sorry_behaviour_contract,"['sign', 'right sorry', 'behaviour', 'contract', 'say think', 'inappropriate', 'type', 'mutual', 'stamp', 'don start']","['Perhaps you’re right. I’m sorry for my behaviour. I’ve had alcohol, and it’s caused me to be inappropriate.', 'It pains me to say it, but I think some form of penalty is in order, so as to discourage this type of behaviour in the future.', 'It pains me to say it, but I think some form of penalty is in order, so as to discourage this type of behaviour in the future.']"
59,17,59_amy amy_amy_additionally_times like,"['amy amy', 'amy', 'additionally', 'times like', 'commitment', 'stroke', 'care amy', 'repeat', 'comfort', 'times']","[' Amy? Amy? Amy?', ' Amy. Amy. Amy.', ' Amy. Amy. Amy.']"
60,17,60_panic_parasite_attack_briefly,"['panic', 'parasite', 'attack', 'briefly', 'experiencing', 'sensation', 'region', 'following', 'covering', 'message']","['According to an online message board, I may be having a panic attack. SoccerMom09 had similar symptoms. But to be fair, the twins were a real handful that day.', 'There’s no denying I have feelings for you that can’t be explained in any other way. I briefly considered that I had a brain parasite. But that seems even more farfetched. The only conclusion was love. I know what’s happening. This is a panic attack. SoccerMom09 says to lie down with your feet elevated.', 'There’s no denying I have feelings for you that can’t be explained in any other way. I briefly considered that I had a brain parasite. But that seems even more farfetched. The only conclusion was love. I know what’s happening. This is a panic attack. SoccerMom09 says to lie down with your feet elevated.']"
61,17,61_joke_humour_set_speaking,"['joke', 'humour', 'set', 'speaking', 'met', 'face', 'long', 'breaking', 'cares', 'just hit']","['Well, I don’t think our relationship is a joke. I think “a horse goes into a bar, bartender says, why the long face?’, that’s a joke. It’s a good one, too, because a horse has a long face.', 'I wasn’t speaking about me. I mean, honestly, there’s no telling what will set you off. You know, introducing myself as your boyfriend. Giving you the opportunity to drive me home. Breaking the ice with your colleagues using ethnic humour, the funniest kind of humour.', 'I wasn’t speaking about me. I mean, honestly, there’s no telling what will set you off. You know, introducing myself as your boyfriend. Giving you the opportunity to drive me home. Breaking the ice with your colleagues using ethnic humour, the funniest kind of humour.']"
62,17,62_tea_cold_bags_gonna let,"['tea', 'cold', 'bags', 'gonna let', 'fix', 'slide', 'cup', 'don like', 'oh don', 'little']","['Okay, I’m gonna let that slide because I know you’re hopped up on tea bags.', 'Well, perhaps I am a little under the weather. It’s nothing a little cold medicine and tea can’t fix.', 'Well, perhaps I am a little under the weather. It’s nothing a little cold medicine and tea can’t fix.']"
63,17,63_spend time_spend_time_come think,"['spend time', 'spend', 'time', 'come think', 'confused', 'running time', 'like man', 'everybody', 'needed', 'spoke']","['I’m confused. You’re always saying that you want to spend more time with me.', 'Hey, I get it. Everybody wants to spend more time with me. I’m like a man made of sugar in a world of ants.', 'Hey, I get it. Everybody wants to spend more time with me. I’m like a man made of sugar in a world of ants.']"
64,16,64_fault_age_40_article,"['fault', 'age', '40', 'article', 'scientist', 'smartest', 'prize', 'nobel', 'drawn', 'scientists']","['But it wasn’t my fault. I didn’t exclude him. And I didn’t write the article.', 'This article says the peak age for making a Nobel Prize-winning discovery is 40.', 'This article says the peak age for making a Nobel Prize-winning discovery is 40.']"
