Topic,Count,Name,Representation,Representative_Docs
9,36,9_oh oh_oh_yay_yay yay,"['oh oh', 'oh', 'yay', 'yay yay', 'yes mean', 'itching', 'itching pull', 'mean oh', 'oh ah', 'hah']","['Oh, very much so.', 'Oh, brilliant. I’ve been itching to pull that trigger.', 'Oh, brilliant. I’ve been itching to pull that trigger.']"
10,35,10_bathroom_toilet_coffee_didn,"['bathroom', 'toilet', 'coffee', 'didn', 'toilet didn', 'serotonin', 'use', 'bye', 'safe', 'don drink']","['But I didn’t use it because it didn’t seem safe. Despite all my e-mails, the toilet didn’t have a seatbelt.', 'I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there’s one thing I like more than a refreshing beverage, it’s serotonin. Bye-bye.', 'I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there’s one thing I like more than a refreshing beverage, it’s serotonin. Bye-bye.']"
11,35,11_yes_yes yes_yes peace_peace yes,"['yes', 'yes yes', 'yes peace', 'peace yes', 'peace', 'box thinking', 'certainly', 'don don', 'certainly yes', 'droll yes']","['Yes.', 'Yes.', 'Yes.']"
12,30,12_listen_life_anxiety_care,"['listen', 'life', 'anxiety', 'care', 'train', 'zone don', 'listen zone', 'life miserable', 'order maximize', 'dodson']","['Sorry? You may not realize it, but I have difficulty navigating certain aspects of daily life. You know, understanding sarcasm, feigning interest in others, not talking about trains as much as I want to. It’s exhausting. Which is why, for twenty minutes a day, I like to go down to that room, turn my mind off and do what I need to do to recharge.', 'According to a classic psychological experiment by Yerkes and Dodson, in order to maximize performance, one must create a state of productive anxiety. So I’d like to ask you all to do something for me. Keep me on my toes. Just throw me off my game. Essentially, go out of your way to make my life miserable.', 'According to a classic psychological experiment by Yerkes and Dodson, in order to maximize performance, one must create a state of productive anxiety. So I’d like to ask you all to do something for me. Keep me on my toes. Just throw me off my game. Essentially, go out of your way to make my life miserable.']"
13,29,13_think reason_reason_tell_wasn plan,"['think reason', 'reason', 'tell', 'wasn plan', 'plan tell', 'reason think', 'reason tell', 'tell wasn', 'tell think', 'reason hold']","['Hold on. Nope, no reason.', 'I can’t think of a reason why not.', 'I can’t think of a reason why not.']"
14,29,14_toggles_red_code_thousand toggles,"['toggles', 'red', 'code', 'thousand toggles', 'code red', 'thousand', 'called words', 'toggles thousand', 'calibration', 'sequence seven']","['Why would they say at least? Is it ten toggles? Is it a hundred toggles? You know? Is it a thousand toggles? Ten thousand toggles? A hundred thousand toggles?', 'Do you mean code red the hospital emergency alert, code red the computer worm, or code red the cherry flavoured soft drink from the makers of Mountain Dew?', 'Do you mean code red the hospital emergency alert, code red the computer worm, or code red the cherry flavoured soft drink from the makers of Mountain Dew?']"
15,28,15_propose_fair_alright_buttons,"['propose', 'fair', 'alright', 'buttons', 'mask', 'mask surprise', 'wait bring', 'stake', 'arrangement', 'arrangement mask']","['Wait, can I bring this box of extra shirt buttons to sort on the ride?', 'That’s a great idea. And in the spirit of our new arrangement, I will mask my surprise that you came up with it.', 'That’s a great idea. And in the spirit of our new arrangement, I will mask my surprise that you came up with it.']"
16,27,16_magic_trick_magic trick_yes,"['magic', 'trick', 'magic trick', 'yes', 'figure', '14 item', 'amaze page', 'yes did', 'enlighten amaze', 'dice freeing']","['The wand is called showmanship, and the beep is none of your business. Oh! Excuse me, I’m getting a text message completely unrelated to this magic trick. Oh, look, my dry cleaning’s ready. And your card was the five of spades. Ta-da.', 'Yes. From here on in, I’ve decided to make all trivial decisions with a throw of the dice, thus freeing up my mind to do what it does best, enlighten and amaze. Page 14, item seven.', 'Yes. From here on in, I’ve decided to make all trivial decisions with a throw of the dice, thus freeing up my mind to do what it does best, enlighten and amaze. Page 14, item seven.']"
17,26,17_hello_hello hello_came say_just came,"['hello', 'hello hello', 'came say', 'just came', 'shall nice', 'nice scoot', 'scoot', 'sweet ride', 'hey sweet', 'sweet']","['Hello.', 'Hello.', 'Hello.']"
18,25,18_right right_right_fine second_right wager,"['right right', 'right', 'fine second', 'right wager', 'wager', 'check', 'fascinating', 'second', 'fine', 'fascinating excellent']","['All right.', 'Right. Always right.', 'Right. Always right.']"
19,24,19_course_suppose_coming course_oh necessary,"['course', 'suppose', 'coming course', 'oh necessary', 'course course', 'necessary', 'ahead', 'guess', 'coming', 'make guess']","['Of course not.', 'Of course not.', 'Of course not.']"
20,24,20_stop_gentlemen_begin_okay begin,"['stop', 'gentlemen', 'begin', 'okay begin', 'stop classroom', 'stop immediately', 'classroom', 'classroom american', 'begin stop', 'immediately']","['Will you stop it. This is a classroom. This is not American Bandstand.', 'Gentlemen, we need to stop immediately.', 'Gentlemen, we need to stop immediately.']"
21,22,21_michelle pfieffer_julie newmar_eartha kitt_eartha,"['michelle pfieffer', 'julie newmar', 'eartha kitt', 'eartha', 'pfieffer eartha', 'pfieffer', 'halle', 'halle berry', 'newmar michelle', 'berry']","['Yeah, Julie Newmar, Michelle Pfieffer, Eartha Kitt and then her.', 'That makes Halle Berry my fifth favourite catwoman. There’s Julie Newmar, Michelle Pfieffer, Eartha Kitt, Lee Meriwether…', 'That makes Halle Berry my fifth favourite catwoman. There’s Julie Newmar, Michelle Pfieffer, Eartha Kitt, Lee Meriwether…']"
22,21,22_chicken_tiny_fine tiny_culturally,"['chicken', 'tiny', 'fine tiny', 'culturally', 'bouillon', 'bothering years', 'uh carrot', 'birds', 'single cube', 'shrimp']","['I like tangerine chicken, I’m not getting tangerine chicken.', 'Chicken broth. It seemed culturally appropriate. Also, there was a single cube of chicken bouillon in the cupboard when I moved in and it’s been bothering me for the last eight years. So, as they say, two birds.', 'Chicken broth. It seemed culturally appropriate. Also, there was a single cube of chicken bouillon in the cupboard when I moved in and it’s been bothering me for the last eight years. So, as they say, two birds.']"
23,20,23_minute_months_takes 45_airport,"['minute', 'months', 'takes 45', 'airport', 'minutes airport', 'thousand hours', 'airport security', 'mission', '45 minutes', 'mission months']","['Three thousand hours. Three thousand hours clicking on that mouse, collecting weapons and gold. It’s almost as if it was a huge waste of time.', 'It’s still there. Takes me 45 minutes to get through airport security. ', 'It’s still there. Takes me 45 minutes to get through airport security. ']"
24,19,24_times_planets_quantum_calculating,"['times', 'planets', 'quantum', 'calculating', 'equals', 'news', 'fc', 'extraterrestrials', 'quantum gravity', 'extraterrestrials calculating']","['Oh, preposterous. I have been solely responsible for this university’s six loop quantum gravity calculations, I have changed the way we think about Bose-Einstein condensates, and I am also the one who got Nutter Butters in the cafeteria vending machine. Maybe you missed that news while you were floating around like a goof in outer space. Now, if you’ll excuse me, I have work to do.', 'The one that estimates the odds of making contact with extraterrestrials by calculating the product of an increasingly restrictive series of fractional values such as those stars with planets, and those planets likely to develop life? N equals R times FP times NE times FL times FI times FC times L?', 'The one that estimates the odds of making contact with extraterrestrials by calculating the product of an increasingly restrictive series of fractional values such as those stars with planets, and those planets likely to develop life? N equals R times FP times NE times FL times FI times FC times L?']"
25,19,25_mother_mother mother_love mother_battle,"['mother', 'mother mother', 'love mother', 'battle', 'head', 'like', 'mother ravaging', 'mother fornicates', 'thrill', 'nearly']","['You may have a point. I love my mother. Even if she fornicates like a demonic weasel.', 'Off the top of my head? Uh, prospective women weed themselves out in a battle of wits until only one champion remains, and she shows up at my door flush with the thrill of victory, and then sits quietly by my side while I watch Daredevil.', 'Off the top of my head? Uh, prospective women weed themselves out in a battle of wits until only one champion remains, and she shows up at my door flush with the thrill of victory, and then sits quietly by my side while I watch Daredevil.']"
26,19,26_penny_da_da da_quinto,"['penny', 'da', 'da da', 'quinto', 'zachary quinto', 'zachary', 'upset', 'dr', 'perform night', 'molecular positronium']","['Oh, please. Every time the topic of change comes up, you throw Zachary Quinto in my face. I’m upset the mailman has a new haircut, Zachary Quinto. I’m upset that daylight saving time started, Zachary Quinto. I’m upset daylight saving time ended, Zachary Quinto. I’m saying this for the last time, Zachary Quinto was a weird, wonderful, unrepeatable event. So stop using him against me.', 'Well, uh, Penny is on her way to perform in a one night showcase production of Rent, which we are unable to attend because we are going to a symposium on molecular positronium, given by Dr Emile Farminfarmian.', 'Well, uh, Penny is on her way to perform in a one night showcase production of Rent, which we are unable to attend because we are going to a symposium on molecular positronium, given by Dr Emile Farminfarmian.']"
27,19,27_parking_parking space_space_want parking,"['parking', 'parking space', 'space', 'want parking', 'spot', 'using', 'learn', '28', 'squirrel fortuitous', 'humvee']","['Give me back my parking space.', 'I don’t want another parking space. I want my parking space. It’s perfect. It’s a corner spot, cutting the risk of door-dings in half. It’s a mere 28 steps from the building entrance. The nearby tree provides shade on hot days and is also home to a delightful squirrel. Which is fortuitous because most squirrels are real jerks.', 'I don’t want another parking space. I want my parking space. It’s perfect. It’s a corner spot, cutting the risk of door-dings in half. It’s a mere 28 steps from the building entrance. The nearby tree provides shade on hot days and is also home to a delightful squirrel. Which is fortuitous because most squirrels are real jerks.']"
28,19,28_thank_thank oh_great_thank clarification,"['thank', 'thank oh', 'great', 'thank clarification', 'clarification', 'great thank', 'oh terrific', 'thank thank', 'terrific', 'worst thank']","['Thank you.', 'Thank you.', 'Thank you.']"
29,18,29_naked_smell_brain_mommy,"['naked', 'smell', 'brain', 'mommy', 'core body', 'woman needs', 'did clothing', 'doggie', 'dress envelop', 'envelop']","['So we slept together naked. It was only to keep our core body temperatures from plummeting.', 'Howard, we’ve all seen your mother naked. That woman needs to learn how to tie a robe.', 'Howard, we’ve all seen your mother naked. That woman needs to learn how to tie a robe.']"
30,18,30_yeah yeah_sarcasm_yeah_really,"['yeah yeah', 'sarcasm', 'yeah', 'really', 'yeah try', 'sarcasm sarcasm', 'try', 'really really', 'really mind', 'try really']","['Yeah, try me.', 'Yeah. Yeah.', 'Yeah. Yeah.']"
31,17,31_hawking_paper_professor hawking_professor,"['hawking', 'paper', 'professor hawking', 'professor', 'hawking paper', 'asking', 'friends', 'maw know', 'paper professor', 'paper hawking']","['Humorous. Now will you please present my paper to Professor Hawking?', 'My Mee-Maw must never know of this. Now will you give Professor Hawking my paper?', 'My Mee-Maw must never know of this. Now will you give Professor Hawking my paper?']"
32,17,32_iron man_iron_don need_things,"['iron man', 'iron', 'don need', 'things', 'sphere', 'helmet', 've better', 'thinking bit', 'better things', 'doing let']","['You don’t need an Iron Man helmet. You’re not Iron Man.', 'You don’t need an Iron Man helmet. You’re not Iron Man.', 'Yes, I’m still here. Where am I going? I’m on a train. Now, what you’ll be looking for is a small wooden box located between a Hoberman’s sphere and a sample of quartz flecked with pyrite. Hoberman’s Sphere. It’s a collapsible icosidodecahedron. No, the thing with the time on it is my alarm clock.']"
33,17,33_way bye_just breaking_break leg_sure going,"['way bye', 'just breaking', 'break leg', 'sure going', 'going way', 'going past', 'new car', 'past', 'load', 'breaking new']","['No. I’m not sure how we’re going to get past this.', 'Just breaking in your new car.', 'Just breaking in your new car.']"
34,17,34_preevning_late_afternoon_afternoon preevning,"['preevning', 'late', 'afternoon', 'afternoon preevning', 'oh easter', 'time crazy', 'easter time', 'saturday', 'easter', 'wasn expecting']","['Oh! It’s not even Easter time. This is crazy.', 'Well, tomorrow’s Saturday. Saturday night is laundry night, so I’ll be spending the preevning pre-sorting and pre-soaking.', 'It’s a time of day I invented. It better defines the ambiguous period between afternoon and evening. Preevning. I’m fairly certain it will catch on as it fills a desperate need.']"
35,17,35_cluck_cluck cluck_story_children,"['cluck', 'cluck cluck', 'story', 'children', 'boy', 'playing', 'cows', 'oh classic', 'fantasy card', 'andorra']","['Cluck, cluck, cluck. What are we, ladies at a quilting bee? Or are we men playing a fantasy card game set in a magical frontier town?', 'Oh. By all means. When I was a boy, I would polish my Mee-Maw’s silver. And she would entertain me with stories about growing up in Oklahoma. Interesting woman. You know, she once killed a prairie dog with a gravy boat.', 'Oh. By all means. When I was a boy, I would polish my Mee-Maw’s silver. And she would entertain me with stories about growing up in Oklahoma. Interesting woman. You know, she once killed a prairie dog with a gravy boat.']"
36,17,36_napkin_bar_face_office,"['napkin', 'bar', 'face', 'office', 'question', 'prank land', 'posters face', 'wanted posters', 'prank', 'land']","['Yes, I’ve moved to a four-napkin system. Lap, hands, face and personal emergencies. If you like, starting tomorrow, I’ll add a guest napkin, but I’m afraid there’s nothing I can do for you today. Good luck. That’s the face napkin.', 'I have one question. Is this a prank where we land in Houston and you’ve made up wanted posters that have my face with a moustache and a Spanish name and then I get arrested and deported to South America?', 'I have one question. Is this a prank where we land in Houston and you’ve made up wanted posters that have my face with a moustache and a Spanish name and then I get arrested and deported to South America?']"
37,16,37_robot_rover_drive_learn robot,"['robot', 'rover', 'drive', 'learn robot', 'robots rise', 'robots', 'rise', 'learn', 'charge', 'usb']","['Wait. I’m confused. Why would you need both a robot girlfriend and a robot prostitute?', 'I don’t trust banks. I believe that when the robots rise up, ATMs will lead the charge.', 'I don’t trust banks. I believe that when the robots rise up, ATMs will lead the charge.']"
38,16,38_valid_oh wanted_valid point_gesture phrase,"['valid', 'oh wanted', 'valid point', 'gesture phrase', 'did assumed', 'rules live', 'weren using', 'truly word', 'word isn', 'payback']","['That’s what you did. I assumed as in a number of languages that the gesture was part of the phrase.', 'Oh, that. Well, see, I wanted it, and you weren’t using it. Apparently, those are the rules we live by now. Payback, it truly is the B word, isn’t it?', 'Oh, that. Well, see, I wanted it, and you weren’t using it. Apparently, those are the rules we live by now. Payback, it truly is the B word, isn’t it?']"
39,16,39_bazinga_jokes_kid_ba,"['bazinga', 'jokes', 'kid', 'ba', 'know use', 'budapest', 'word bazinga', 'ba da', 'wocka', 'rarely kid']","['Bazinga! None of you ever see my practical jokes coming, do you?', 'A, I rarely kid. And B, when I do kid, you will know it by my use of the word bazinga.', 'A, I rarely kid. And B, when I do kid, you will know it by my use of the word bazinga.']"
40,16,40_unfortunately using_does work_help unfortunately_really does,"['unfortunately using', 'does work', 'help unfortunately', 'really does', 'work', 'love help', 'unfortunately', 'working', 'help', 'using']","['Really, how does it work?', 'I’d love to help you out, but unfortunately , I’m using it.', 'I’d love to help you out, but unfortunately , I’m using it.']"
41,15,41_end_factory_know don_plan disneyland,"['end', 'factory', 'know don', 'plan disneyland', 'hide seek', 'okay new', 'disneyland', 'tom sawyer', 'piñatas', 'care luau']","['What if it’s banditos shooting at us? What if we get kidnapped? What if we end up in a factory making Bart Simpson piñatas for the rest of our lives?', 'Okay, new plan. We go to Disneyland, play hide and seek on Tom Sawyer’s Island, and then come back and see the end of the pitch.', 'Okay, new plan. We go to Disneyland, play hide and seek on Tom Sawyer’s Island, and then come back and see the end of the pitch.']"
42,14,42_faeces_poodle_heads dry_portion,"['faeces', 'poodle', 'heads dry', 'portion', 'portion heads', 'dolphins', 'small portion', 'solved', 'problem solved', 'heads']","['Excuse me, but the problem is not solved. If your head had been accidentally amputated, and we transplanted a dog’s head in its place, would that be “problem solved”?', 'Shame on you. Where would we be if poodle breeders had that attitude? I’ll tell you. We would have the standard and the miniature poodle, but no toy or teacup. Which by the way, is not an officially recognized breed, but that’s just poodle politics.', 'Everything I say is true. Now, of course, the dung beetle also enjoys eating faeces, living in faeces and making little balls out of faeces, so, you know, pick and choose which aspects of its lifestyle you want to embrace.']"
43,14,43_sheldon_desperate_sheldon cooper_cooper,"['sheldon', 'desperate', 'sheldon cooper', 'cooper', 'shi', 'wo', 'shi sheldon', 'zi shi', 'goes stand', 'wo ming']","['Stop it, both of you. All this fighting, I might as well be back with my parents! Damn it, George, I told you if you didn’t quit drinkin’ I’d leave you! Well, I guess that makes you a liar, ’cause I’m drunk as hell and you’re still here! Stop yelling! You’re making Sheldon cry! I’ll tell you what’s making Sheldon cry! That I let you name him Sheldon.', 'All right, this goes against everything I stand for, but desperate times call for desperate measures. Lord, this is Sheldon Cooper. You’re good friends with my mom. I know I’ve spent my life denying that you exist.', 'All right, this goes against everything I stand for, but desperate times call for desperate measures. Lord, this is Sheldon Cooper. You’re good friends with my mom. I know I’ve spent my life denying that you exist.']"
44,14,44_ll possession_proceed forfeit_want proceed_possession,"['ll possession', 'proceed forfeit', 'want proceed', 'possession', 'let saw', 'fantastic', 'bet ll', 'forfeit bet', 'gamble', 'gamble let']","['I said to myself, I think I can, I think I can. And then I couldn’t, so I paid two men who promised not to come rob us later.', 'Fine, if you don’t want to proceed, then you forfeit the bet, and I’ll take possession of your Fantastic Four.', 'Fine, if you don’t want to proceed, then you forfeit the bet, and I’ll take possession of your Fantastic Four.']"
45,13,45_raj_howard raj_guess_howard,"['raj', 'howard raj', 'guess', 'howard', 'polar', 'irrelevant rajesh', 'need tactical', 'kicked office', 'just eyewitness', 'kicked']","['I think a more amusing violation of Raj’s trust is when Howard convinced him that foreigners give presents to Americans on Thanksgiving.', 'That’s very unlikely, Mrs. Koothrappali. If Raj dies, it’ll be from frostbite, gangrene, acute sunburn or being ripped to shreds by a fifteen hundred pound polar bear.', 'All right, what we need now is a tactical retreat. Did you see the episode of Stargate where they found themselves on a planet with a culture based loosely on Earth’s Athens and Sparta? Not important. Leonard, Raj and I are going to burst out the door and run away, Howard will cover us.']"
46,12,46_hot_hot chocolate_chocolate_hot glue,"['hot', 'hot chocolate', 'chocolate', 'hot glue', 'glue hot', 'choice beverage', 'chocolate months', 'drink hot', 'engaging', 'nonsense choice']","['Good morning, Friend Howard. Friend Raj. I see you gentlemen are enjoying beverages. Perhaps they would taste better out of these.', 'As I will not be engaging in this nonsense, my choice of beverage is moot. But for the record, I only drink hot chocolate in months with an R in them.', 'As I will not be engaging in this nonsense, my choice of beverage is moot. But for the record, I only drink hot chocolate in months with an R in them.']"
47,12,47_like like_like_bad news_like don,"['like like', 'like', 'bad news', 'like don', 'happened like', 'going like', 'don bad', 'news going', 'just happened', 'news']","['Like what?', 'Like what?', 'What’s the bad news?']"
48,12,48_bowling_shoes_wii bowling_wii,"['bowling', 'shoes', 'wii bowling', 'wii', 'overs', 'holes', 'thoughts', 'bowling shoes', 'shoes delightful', 'delightful did']","['There are no do-overs in Wii bowling.', 'There are no do-overs in Wii bowling.', 'A common spare. The Miss Congeniality of the bowling pageant. Before you jump on Twitter to tout your modest accomplishment, watch how it’s really done. I am the ball. My thoughts are its thoughts. Its holes are my holes. Yes. Tweet that, Tweety Bird.']"
49,12,49_astronaut_coming alma_told child_notified nasa,"['astronaut', 'coming alma', 'told child', 'notified nasa', 'space astronauts', 'feel pretty', 'good coming', 'notified', 'going space', 'child did']","['This must feel pretty good for you, coming back to your alma mater as an astronaut.', 'Well, truth be told, as a child, I did dream of going to space. Those astronauts were my heroes. And when you got to go, it was hard for me.', 'Well, truth be told, as a child, I did dream of going to space. Those astronauts were my heroes. And when you got to go, it was hard for me.']"
50,12,50_human_ape_planet_living planet,"['human', 'ape', 'planet', 'living planet', 'human living', 'populated', 'sole', 'planet populated', 'sole human', 'imagine sole']","['Try to put yourself in my place. Imagine you’re the sole human being living on a planet populated with nothing but dogs. And then it turns out there’s another human being.', 'Yeah, okay, I can see you’re going to take this the wrong way. Let me try again. Imagine you’re the sole human being living on a planet populated with nothing but chimps.', 'Yeah, okay, I can see you’re going to take this the wrong way. Let me try again. Imagine you’re the sole human being living on a planet populated with nothing but chimps.']"
51,11,51_happened_hope_evening_guilt causing,"['happened', 'hope', 'evening', 'guilt causing', 'bit embarrassing', 'causing gorn', 'case riddled', 'causing', 'embarrassing evening', 'worse case']","['Oh, I hope so. What happened to you last night?', 'No. If anything, I made it worse. In any case, I have been riddled with guilt, which is causing Gorn-infested REM sleep. So, I’m here now to say I’m sorry.', 'No. If anything, I made it worse. In any case, I have been riddled with guilt, which is causing Gorn-infested REM sleep. So, I’m here now to say I’m sorry.']"
52,10,52_forgive_wait allow_played pan_rendition,"['forgive', 'wait allow', 'played pan', 'rendition', 'rendition brenda', 'flute', 'pan flute', 'sentiment', 'sentiment haunting', 'pan']","['Wait. I just want you all to know that I forgive you. This mutiny isn’t your fault, it’s mine. I haven’t earned these bars. Although what I lack in leadership, apparently I more than make up for in sewing.', 'No, no, no, wait. I’m not done. Allow me to underscore my sentiment with a haunting rendition of Brenda Lee’s I’m Sorry played on the pan flute.', 'No, no, no, wait. I’m not done. Allow me to underscore my sentiment with a haunting rendition of Brenda Lee’s I’m Sorry played on the pan flute.']"
