Topic,Count,Name,Representation,Representative_Docs
10,98,10_drink_offer_drinking_hot,"['drink', 'offer', 'drinking', 'hot', 'disappointing', 'll just', 'think ll', 'convention', 'upset', 'water']","['Did you offer him a hot beverage?', 'Did you offer him a hot beverage?', 'Offer them a hot beverage.']"
11,91,11_pants_wear_pair_thousand,"['pants', 'wear', 'pair', 'thousand', 'clothes', 'time machine', 'legs', 'wearing', 'clean', 'machine']","['I own nine pairs of pants.', 'Not in these pants.', 'Not in these pants.']"
12,91,12_apology_fault_apologize_blame,"['apology', 'fault', 'apologize', 'blame', 'calm', 'step', 'line', 'article', 'ow', 'suck']","['And you never answered me. So who owes whom an apology now?', 'Hello, everyone. Oh, Beverly, good to see you. I’d love to chat, but there’s a line that could start moving any minute, so let’s do this. Amy? A proper apology requires three steps. Step one, an admission of wrongdoing. Amy, I was wrong. Step two, a promise never to repeat said action. Amy, that action will never be repeated, and that’s a promise. Step three, an earnest request for forgiveness. Amy, I hope you can forgive me. And I hope you do it right now, ’cause there’s an Uber waiting downstairs, and I don’t want to repeat this apology nonsense with my driver Ganesh.', 'Hello, everyone. Oh, Beverly, good to see you. I’d love to chat, but there’s a line that could start moving any minute, so let’s do this. Amy? A proper apology requires three steps. Step one, an admission of wrongdoing. Amy, I was wrong. Step two, a promise never to repeat said action. Amy, that action will never be repeated, and that’s a promise. Step three, an earnest request for forgiveness. Amy, I hope you can forgive me. And I hope you do it right now, ’cause there’s an Uber waiting downstairs, and I don’t want to repeat this apology nonsense with my driver Ganesh.']"
13,90,13_nope___,"['nope', '', '', '', '', '', '', '', '', '']","['Nope.', 'Nope.', 'Nope.']"
14,89,14_raj_states_insensitive_holiday,"['raj', 'states', 'insensitive', 'holiday', 'think don', 'extra', 'took', 'apology', 'greatest', 'sister']","['And Raj.', ' Raj. Raj. Raj.', 'Not a clue. Raj?']"
15,85,15_right right_right_right let_price,"['right right', 'right', 'right let', 'price', 'right ll', 'll right', 'colour', 'right don', 'let just', 'makes sense']","['All right. Let’s play Physics Fiesta.', 'All right, let me restate that. It’s very heavy, and I don’t want to.', 'All right, let me restate that. It’s very heavy, and I don’t want to.']"
16,84,16_pie_dinner_low_sauce,"['pie', 'dinner', 'low', 'sauce', 'market', 'frozen', 'hadn', 'eat', 'piece', 'bar']","['Did you pick up the low-sodium soy sauce from the market?', 'Did you pick up the low sodium soy sauce from the market?', 'Did you pick up the low-sodium soy sauce from the market?']"
17,84,17_location_dating_benefits_sexual,"['location', 'dating', 'benefits', 'sexual', 'disappointing', 'bridge', 'swimming', 'leonard', 'individual', 'intercourse']","['My point is I don’t like when things change. So, regardless of your feelings, I would like you to continue dating Leonard. And also, while we’re on the subject, you recently changed your shampoo. I’m not comfortable with the new scent. Please stop this madness and go back to green apple.', 'Assuming the device could be invented which would identify the quantum state of matter of an individual in one location, and transmit that pattern to a distant location for reassembly, you would not have actually transported the individual. You would have destroyed him in one location, and recreated him in another.', 'Assuming the device could be invented which would identify the quantum state of matter of an individual in one location, and transmit that pattern to a distant location for reassembly, you would not have actually transported the individual. You would have destroyed him in one location, and recreated him in another.']"
18,83,18_lie_machine_lying_facial,"['lie', 'machine', 'lying', 'facial', 'emotions', 'emotional', 'don look', 'trick', 'reading', 'look like']","['A machine that reads emotions is intriguing. It could help me be a more considerate friend.', 'I really have no idea. I don’t particularly excel at reading facial expressions, body language…', 'I really have no idea. I don’t particularly excel at reading facial expressions, body language…']"
19,78,19_broke_logical_feelings_welcome,"['broke', 'logical', 'feelings', 'welcome', 'dumb', 'language', 'emotional', 'insensitive', 'don care', 'like think']","['I thought you broke up with her. Why is she here?', 'She broke up with me.', 'I thought you broke up with her. Why is she here?']"
20,78,20_sheldon_dating_pair_brain,"['sheldon', 'dating', 'pair', 'brain', 'genius', 'force', 'living', 'city', 'boyfriend', 'cards']","['There is no more Sheldon, I am the Swordmaster!', 'It’s Sheldon.', 'It’s Sheldon.']"
21,76,21_wolowitz_lost_possibly_count,"['wolowitz', 'lost', 'possibly', 'count', 'bet', 'howard', 'didn think', 'intellect', 'fool', 'listen']","['Wolowitz has informed me of your grand deception. Do you have anything to say for yourself?', 'Wolowitz?', 'Wolowitz?']"
22,75,22_bus_driving_drive_car,"['bus', 'driving', 'drive', 'car', 'meant', 'hold', 'worked', 'year old', 'wheel', 'rise']","['He wouldn’t drive me to work today. I had to wear my bus pants.', 'But I don’t drive, and I can’t take the bus.', 'But I don’t drive, and I can’t take the bus.']"
23,75,23_leonard penny_penny_zack_ladies,"['leonard penny', 'penny', 'zack', 'ladies', 'expert', 'leonard', 'angry', 'penny oh', 'discuss', 'bother']","['Yes. This is Dr. Sheldon Cooper. Is this the Zack Johnson who used to have coitus with my neighbour Penny? Sorry to bother you. Hello. I’m looking for a Zack Johnson who used to have coitus with my neighbour Penny. Coitus. It means intercourse. And I have a feeling I’m speaking to the right Zack. This is Sheldon Cooper. Fine. Shelly. Yes, that does sound like a girl’s name. No, it doesn’t bother me. Yes, Smelly Shelly does bother me. Let me tell you why I’m calling. I’d like to know if you’d be interested in having sex with Amy Farrah Fowler. Amy Farrah Fowler. Yes, that is a girl’s name. Good grief. It’s like trying to talk to a dolphin.', 'Is this it? It was inappropriate to discuss Leonard and Penny’s sex life in front of Leonard and Penny. Oh, good! Now I can eat.', 'Is this it? It was inappropriate to discuss Leonard and Penny’s sex life in front of Leonard and Penny. Oh, good! Now I can eat.']"
24,74,24_da_questions_seven_double,"['da', 'questions', 'seven', 'double', 'click', 'places', 'letter', 'thousand', 'oh clever', 'numbers']","['All right, that seems simple enough. Initiating calibration sequence. One, two, three, four, five, six, seven, eight, nine, ten. Well, I suppose ten is technically at least ten. But they’re still getting at least one angry letter.', 'No, but three, two and we’re done is incomplete. You know those things bother me. It’s like hearing da-da-da-da-da-dah without yelling…', 'No, but three, two and we’re done is incomplete. You know those things bother me. It’s like hearing da-da-da-da-da-dah without yelling…']"
25,73,25_soft_singing_song_music,"['soft', 'singing', 'song', 'music', 'hear', 'sick', 'white', 'head', 'stuck', 'let ask']","['Can you sing “Soft Kitty”.', '“Soft Kitty” is for when you’re sick. You’re not sick.', '“Soft Kitty” is for when you’re sick. You’re not sick.']"
26,72,26_roommate_agreement_meeting_section,"['roommate', 'agreement', 'meeting', 'section', 'clause', 'month', 'specifically', 'alternate', 'obligated', 'sits']","['Yes, or good for us if you sign here and reinstate the full roommate agreement.', 'You have to help, it’s in the roommate agreement.', 'You have to help, it’s in the roommate agreement.']"
27,71,27_work_going work_foolish_compromise,"['work', 'going work', 'foolish', 'compromise', 'plate', 'ride', 'mouse', 'sorry don', 'raise', 'hire']","['We should get to work.', 'Can we get back to work?', 'We should get to work.']"
28,71,28_professor_played_friends_anymore,"['professor', 'played', 'friends', 'anymore', 'points', 'play', 'words', 'years old', 'word', 'earlier today']","['Professor Hawking?', 'Earlier today, I invited Professor Stephen Hawking to join me in the popular online game Words with Friends. Moments ago, he accepted my request. Do you understand what that means?', 'Earlier today, I invited Professor Stephen Hawking to join me in the popular online game Words with Friends. Moments ago, he accepted my request. Do you understand what that means?']"
29,70,29_particle_professor_tickle_existence,"['particle', 'professor', 'tickle', 'existence', 'particles', 'zone', 'happening', 'plus', 'nobel prize', 'close']","['Nice try. Now, in 1964, Dr. Peter Higgs, accomplished self-promoter and physicist, he wrote a paper postulating the existence of a subatomic particle called the Higgs boson. Now, initially the paper was rejected, but recently, he was proven right, and now he’s on the fast track to win a Nobel prize.', 'But Penny has no interest in subatomic particle research.', 'But Penny has no interest in subatomic particle research.']"
30,70,30_upset_mad_think don_sarcasm,"['upset', 'mad', 'think don', 'sarcasm', 'saving', 'credit', 'throwing', 'changed', 'emotional', 'throw']","['Physically, yes, but I’m upset because everyone’s mad at me for no good reason.', 'Oh, please. Every time the topic of change comes up, you throw Zachary Quinto in my face. I’m upset the mailman has a new haircut, Zachary Quinto. I’m upset that daylight saving time started, Zachary Quinto. I’m upset daylight saving time ended, Zachary Quinto. I’m saying this for the last time, Zachary Quinto was a weird, wonderful, unrepeatable event. So stop using him against me.', 'Oh, please. Every time the topic of change comes up, you throw Zachary Quinto in my face. I’m upset the mailman has a new haircut, Zachary Quinto. I’m upset that daylight saving time started, Zachary Quinto. I’m upset daylight saving time ended, Zachary Quinto. I’m saying this for the last time, Zachary Quinto was a weird, wonderful, unrepeatable event. So stop using him against me.']"
31,70,31_comic book_comic_book_store,"['comic book', 'comic', 'book', 'store', 'books', 'oh god', 'step', 'god', 'games', 'film']","['And the comic book store.', 'It’s the comic book store.', 'It’s the comic book store.']"
32,70,32_sound_silence_effect_music,"['sound', 'silence', 'effect', 'music', 'country', 'months', 'basically', 'companion', 'irritating', 'eyes']","['Whispering do not make a sound is a sound.', 'Okay, well, I have a sound effect for those sound effects. ', 'Okay, well, I have a sound effect for those sound effects. ']"
33,69,33_cold_winter_hat_temperature,"['cold', 'winter', 'hat', 'temperature', 'effect', 'outside', 'common', 'things like', 'ceremony', 'painting']","['That is a bracing cold, an invigorating cold. Lord, is it cold!', 'Why are you shaking? Are you cold?', 'Why are you shaking? Are you cold?']"
34,69,34_date_occasion_tomorrow_companion,"['date', 'occasion', 'tomorrow', 'companion', 'dating', 'kids', 'background', 'know did', 'hey leonard', 'neat']","['Then, this is my first date.', 'So, how was your date?', 'Then, this is my first date.']"
35,68,35_thank thank_thank_thanks_good luck,"['thank thank', 'thank', 'thanks', 'good luck', 'luck', 'good', '', '', '', '']","['Thank you.', 'Thank you.', 'Thank you.']"
36,66,36_minutes_seconds_minute_hours,"['minutes', 'seconds', 'minute', 'hours', '11', 'spend time', 'long', '12', '30', 'rings']","['All right. 12 minutes and 17 seconds.', 'Assuming I can keep up this pace, three hours, 11 minutes, and plus however long it takes to conclude this fairly pointless conversation.', 'Assuming I can keep up this pace, three hours, 11 minutes, and plus however long it takes to conclude this fairly pointless conversation.']"
37,65,37_party_west_served_costume,"['party', 'west', 'served', 'costume', 'religious', 'say don', 'type', 'costumes', 'reaction', 'education']","['A Halloween party?', 'But which one of us should be the party who…', 'A Halloween party?']"
38,65,38_hypothesis_evidence_conclusion_certainly,"['hypothesis', 'evidence', 'conclusion', 'certainly', 'evolution', 've given', 'support', 'research', 'evolutionary', 'know ve']","['Your meme hypothesis does intrigue me. How might we examine this more closely?', 'You have a back-up hypothesis.', 'You have a back-up hypothesis.']"
39,64,39_tea_cup_situation_upset,"['tea', 'cup', 'situation', 'upset', 'll make', 'advice', 'emily', 'blue', 'usually', 'sorry don']","['Yeah, herbal tea for me, please.', 'I didn’t make tea for you. This is my tea.', 'I didn’t make tea for you. This is my tea.']"
40,64,40_science_scientist_discovery_young,"['science', 'scientist', 'discovery', 'young', 'scientists', 'best friend', 'age', 'generation', 'scientific', 'series']","['Don’t you dare use science against me. Science is my best friend. Oh, good, I’m back up to eight.', 'Don’t you dare use science against me. Science is my best friend. Oh, good, I’m back up to eight.', 'No, this is for science. I can be brave for science.']"
41,63,41_wars_star wars_george_voice,"['wars', 'star wars', 'george', 'voice', 'jones', 'star', 'sheets', 'middle', 'james', 'cut']","['Gentlemen, Star Wars Day is rapidly approaching. We should finalize our plans.', 'But, that’s Star Wars Day.', 'But, that’s Star Wars Day.']"
42,63,42_oh dear_dear_dear lord_lord,"['oh dear', 'dear', 'dear lord', 'lord', 'disaster', 'good lord', 'ha', 'god', 'health', 'going come']","['Oh, dear Lord, we’re doomed.', 'Oh, dear Lord!', 'Oh, dear Lord, shush.']"
43,63,43_relationship_penny_attempt_perfectly,"['relationship', 'penny', 'attempt', 'perfectly', 'rid', 'fair', 'milk', 'fashion', 'soften', 'involving']","['I am. Yeah, Penny pointed out that what I’m going through is essentially a breakup. And according to Cosmopolitan magazine, one of the most effective techniques for moving on is to get rid of all reminders of the relationship.', 'Yes. Since their relationship became carnal, Penny has upgraded his designated term of endearment, thus distinguishing him from those she calls sweetie, usually in an attempt to soften a thinly-veiled insult.', 'Yes. Since their relationship became carnal, Penny has upgraded his designated term of endearment, thus distinguishing him from those she calls sweetie, usually in an attempt to soften a thinly-veiled insult.']"
44,62,44_wait wait_wait_good good_says,"['wait wait', 'wait', 'good good', 'says', 'tell', 'like', 'good', '', '', '']","['Wait. What?', 'Wait. Wait. And says?', 'Wait. Wait. And says?']"
45,62,45_did did_honest_did_didn,"['did did', 'honest', 'did', 'didn', 'shouldn', 'believe ve', 'know sure', 'know did', 'accurate', 'didn know']","['I did. You know, I’m not even sure how accurate it was. I took it to the train store, it said everyone was sad.', 'I did. You know, I’m not even sure how accurate it was. I took it to the train store, it said everyone was sad.', 'You did this, didn’t you?']"
46,58,46_sandwich_corn_half_knows,"['sandwich', 'corn', 'half', 'knows', 'small', 'bigger', 'vegetable', 'occurs', 'slide', 'caused']","['Thank you. I’d like to make a sandwich, but I’m out of bread.', 'You can’t make a half-sandwich. If it’s not half of a whole sandwich, it’s just a small sandwich.', 'You can’t make a half-sandwich. If it’s not half of a whole sandwich, it’s just a small sandwich.']"
47,58,47_lee_oh uh_sword_feet,"['lee', 'oh uh', 'sword', 'feet', 'funny', 'credit', 'thrown', 'finished', 'touched', 'oh lord']","['This is Stan Lee’s front door. We were on Stan Lee’s curb, then we were on Stan Lee’s walk, and now we’re at Stan Lee’s front door.', 'You had gelato with Stan Lee?', 'You had gelato with Stan Lee?']"
48,58,48_eh_know ll_yeah yeah_true,"['eh', 'know ll', 'yeah yeah', 'true', 'll tell', 'ask', 'yeah', 'tell', 'yes', 'll']","['I’ll tell you why.', 'Yeh, why? Eh, why? Oh, that’s why.', 'Yeh, why? Eh, why? Oh, that’s why.']"
49,57,49_going going_street_speed_know ve,"['going going', 'street', 'speed', 'know ve', 'bar', 'way way', 'going', 'mean like', 'academic', 'eventually']","['Euclid Avenue is shorter as the crow flies, but it has speed bumps, which appreciably increase point-to-point drive time, making it the less efficient choice. But you have the conn. Of course, if you’re not going to slow down for the speed bumps, I withdraw my previous objection. Here’s a fun question. Do you know what the most common street name is?', 'The answer’s tricky. It’s Second Street. You see, you’d think it would be First Street, but in most towns, First Street eventually gets renamed to something else, you know, like Main Street, Broad Street, Michigan Avenue. Leonard and I often use our commute time to exercise our minds with brain-teasers like that. We also play games. Would you like to play one?', 'The answer’s tricky. It’s Second Street. You see, you’d think it would be First Street, but in most towns, First Street eventually gets renamed to something else, you know, like Main Street, Broad Street, Michigan Avenue. Leonard and I often use our commute time to exercise our minds with brain-teasers like that. We also play games. Would you like to play one?']"
50,56,50_women_girlfriend_men_level,"['women', 'girlfriend', 'men', 'level', 'sexual', 'going make', 'interaction', 'fantasy', 'society', 'academic']","['Well, I understand there are several types of artificial women. Maybe you should look into that.', 'Uh, hello again. Um, yeah, I don’t know if women in general have been actively discouraged from pursuing the sciences, but it’s clear you young women here, today, have been. While I was listening to my colleagues waste your time, it occurred to me that it might be much more meaningful to hear about women in science from actual women in science, and, uh, I happen to know two brilliant examples who have agreed to speak to you on the phone right now. Uh, Dr. Rostenkowski, Dr. Fowler, are you there?', 'Uh, hello again. Um, yeah, I don’t know if women in general have been actively discouraged from pursuing the sciences, but it’s clear you young women here, today, have been. While I was listening to my colleagues waste your time, it occurred to me that it might be much more meaningful to hear about women in science from actual women in science, and, uh, I happen to know two brilliant examples who have agreed to speak to you on the phone right now. Uh, Dr. Rostenkowski, Dr. Fowler, are you there?']"
51,55,51_going make_stole_deserve_good luck,"['going make', 'stole', 'deserve', 'good luck', 'copy', 'luck', 'following', 'continue', 'yeah yeah', 'ha']","['Doubleazinga! I do! Good luck following that.', 'Who cares? He stole the idea and doesn’t deserve his own joke.', 'Who cares? He stole the idea and doesn’t deserve his own joke.']"
52,55,52_leaving_leave_reason_believe ve,"['leaving', 'leave', 'reason', 'believe ve', 'dictates', 'necessarily', 'stomach', 'reached', 'offence', 'doesn mean']","['You’re leaving?', 'I am not leaving until I’m done.', 'You’re leaving?']"
53,55,53_room_whoa_wait wait_wall,"['room', 'whoa', 'wait wait', 'wall', 'people don', 'bedroom', 'allowed', 'closed', 'present', 'wanted']","['But that’s my room.', 'But that’s my room.', 'But that’s my room.']"
54,54,54_dinner_lunch_eat_desk,"['dinner', 'lunch', 'eat', 'desk', 'chair', 'meal', 'stay', 'table', 'breakfast', 'order']","['Eat? My dinner? In your apartment?', 'Eat? My dinner? In your apartment?', 'I do eat dinner.']"
55,54,55_bed_couch_sleep_tall,"['bed', 'couch', 'sleep', 'tall', 'eye', 'comfort', 'engine', 'comfortable', 'building', 'fantastic']","['Oh, oh. And guess where we get to sleep? Our choice of a turn-of-the-century railway bunkhouse or a working caboose. Now, the problem with a caboose is there’s no bathroom, but the problem with the bunkhouse is it’s not a caboose. On the first day, I get to drive a steam engine. Oh, and the second day, a diesel engine. Oh, and if I volunteer to do track maintenance and paperwork, they’ll let me stay as long as I want. So you might want to pack enough clothes for the rest of our lives.', 'I can’t sleep on your couch. I sleep in a bed. And given it’s dimensions I have no intention of living out E.M. Snickering’s beloved children’s book , The Tall Man From Cornwall.', 'I can’t sleep on your couch. I sleep in a bed. And given it’s dimensions I have no intention of living out E.M. Snickering’s beloved children’s book , The Tall Man From Cornwall.']"
56,54,56_girlfriend_girl_data_agree,"['girlfriend', 'girl', 'data', 'agree', 'exchange', 'fantasy', 'mountain', 'shaped', 'yeah don', 'finished']","['She’s not my girlfriend.', 'She’s not my girlfriend.', 'She’s not my girlfriend.']"
57,54,57_robot_intelligence_em_section,"['robot', 'intelligence', 'em', 'section', 'summer', 'appear', 'things like', 'kill', 'greater', 'let ask']","['Wait. I’m confused. Why would you need both a robot girlfriend and a robot prostitute?', 'Is it wrong to say I love our killer robot?', 'Is it wrong to say I love our killer robot?']"
58,54,58_flag_flags_em_episode,"['flag', 'flags', 'em', 'episode', 'white', 'discovered', 'animal', 'appears', 'fun', 'questions']","['Vexillology is… why is there a face on that flag?', 'You know what, that’s not a flag question. Next caller.', 'You know what, that’s not a flag question. Next caller.']"
59,53,59_alcohol_drink_wine_drinking,"['alcohol', 'drink', 'wine', 'drinking', 'glasses', 'referring', 'know don', 'don like', 'prove', 'operating']","['Every time you drink alcohol.', 'Alcohol? I don’t drink alcohol.', 'Alcohol? I don’t drink alcohol.']"
60,53,60_hurt_easily_pain_insist,"['hurt', 'easily', 'pain', 'insist', 'fantastic', 'evolutionary', 'effort', 'does mean', 'scare', 'birds']","['How much will it hurt?', 'Don’t hurt us, don’t hurt us,', 'Don’t hurt us, don’t hurt us,']"
61,52,61_zero_degrees_times_number,"['zero', 'degrees', 'times', 'number', 'forgot', 'eh', 'channel', 'high', 'lie', 'fi']","['There’s one more zero. You forgot the time parameter.', 'Chuck Norris wishes. In binary, 73 is a palindrome, one-zero-zero-one-zero-zero-one which backwards is one-zero-zero-one-zero-zero-one, exactly the same. All Chuck Norris backwards gets you is Sirron Kcuhc.', 'Chuck Norris wishes. In binary, 73 is a palindrome, one-zero-zero-one-zero-zero-one which backwards is one-zero-zero-one-zero-zero-one, exactly the same. All Chuck Norris backwards gets you is Sirron Kcuhc.']"
62,52,62_okay okay_okay_check_alright,"['okay okay', 'okay', 'check', 'alright', 'cool', 'talk', 'say', '', '', '']","['Okay.', 'Okay.', 'Okay.']"
63,52,63_chicken_mm_appropriate_owned,"['chicken', 'mm', 'appropriate', 'owned', 'childhood', 'born', 'fingers', 'brings', 'condition', 'birds']","['The prospect of fried chicken.', 'Chicken?', 'The prospect of fried chicken.']"
64,51,64_didn want_penny penny_penny_los,"['didn want', 'penny penny', 'penny', 'los', 'cards', 'comfortable', 'portion', 'rendered', 'hire', 'emotion']","['Not surprising. Penny’s emotional responses originate from the primitive portion of the brain known as the Amygdala, while speech is centred in the much more recently developed Neocortex. The former can easily overpower the latter giving scientific credence to the notion of being rendered speechless. Or maybe she just doesn’t want to talk.', 'I was, but Penny didn’t want to. You didn’t want to. Bernadette, Amy, Koothrappali and Wolowitz didn’t want to. And even I knew it was weird to hire somebody.', 'I was, but Penny didn’t want to. You didn’t want to. Bernadette, Amy, Koothrappali and Wolowitz didn’t want to. And even I knew it was weird to hire somebody.']"
65,51,65_touched_died_evil_contact,"['touched', 'died', 'evil', 'contact', 'touch', 'lights', 'yes oh', 'replace', 'texas', 'respond']","['Oh, dear Lord, yes, yes, oh, yes! Amy, I’ve never been touched like this before! Oh! Oh, my hands are magic!', 'Penny, all my life, I have been uncomfortable with the sort of physical contact that comes easily to others, hand-shaking, hugging, prostate exams. But I’m working on it, you know? Just recently, I had to put VapoRub on Amy’s chest. A year ago, that would have been unthinkable.', 'Penny, all my life, I have been uncomfortable with the sort of physical contact that comes easily to others, hand-shaking, hugging, prostate exams. But I’m working on it, you know? Just recently, I had to put VapoRub on Amy’s chest. A year ago, that would have been unthinkable.']"
66,50,66_good luck_luck_strongly_surprisingly,"['good luck', 'luck', 'strongly', 'surprisingly', 'pro', 'drunk', 'oh boy', 'hey', 'scene', 'prepare']","['It’s called fitting in. By the way, good luck.', 'Very well. And good luck, I’m a pretty laid-back guy.', 'Very well. And good luck, I’m a pretty laid-back guy.']"
67,49,67_cat_just need_oh like_entitled,"['cat', 'just need', 'oh like', 'entitled', 'don need', 'point point', 'refuse', 'pet', 'tedious', 'chose']","['Leonard, do you really think you can satisfy your need for a relationship with a genetically altered cat?', 'The mrow, that sounded to me like an African civet cat.', 'The mrow, that sounded to me like an African civet cat.']"
68,49,68_captain_team_allowed_general,"['captain', 'team', 'allowed', 'general', 'joe', 'screw', 'steal', 'dictates', 'exchange', 'order']","['Captain Kirk won.', 'Captain, what are your orders?', 'Captain, what are your orders?']"
69,49,69_mystery_couple_officer_relationship,"['mystery', 'couple', 'officer', 'relationship', 'wondering', 'fail', 'losing', 'arms', '30', 'liked']","['You know, I liked it better when there was still a little mystery left in our relationship.', 'To help. Look, if you fail at this relationship, and history suggests you will, then we risk losing the medical officer that our landing party has always needed.', 'To help. Look, if you fail at this relationship, and history suggests you will, then we risk losing the medical officer that our landing party has always needed.']"
70,49,70_university_math_brain_big deal,"['university', 'math', 'brain', 'big deal', 'butter', 'deal', 'spent', 'fail', 'signal', 'curiosity']","['That’s pretty funny, that does sound like me. But that doesn’t mean that you should be standing on street corners handing out your math to whatever guy comes along.', 'You’re right, Leonard, it’s not a big deal. All you did was lie to me destroy my dream and humiliate me in front of the whole university. That, FYI, was sarcasm. I, in fact, believe it is a big deal', 'You’re right, Leonard, it’s not a big deal. All you did was lie to me destroy my dream and humiliate me in front of the whole university. That, FYI, was sarcasm. I, in fact, believe it is a big deal']"
71,49,71_smell_flower_letter_green,"['smell', 'flower', 'letter', 'green', 'air', 'hide', 'interaction', 'fresh', 'entitled', 'people don']","['Does it smell like blueberries?', 'Hello. Why do I smell methacrylate?', 'Hello. Why do I smell methacrylate?']"
72,49,72_birthday_born_planned_holiday,"['birthday', 'born', 'planned', 'holiday', 'portion', '12 hours', 'begins', 'different', 'midnight', 'mask']","['But this is my birthday suit. Are you having a stroke? Because that’s the kind of thing that just ruins a birthday party.', 'No, and also, I don’t want to disappoint you. I, you know, come on, it’s your birthday. I can soldier through this.', 'No, and also, I don’t want to disappoint you. I, you know, come on, it’s your birthday. I can soldier through this.']"
73,49,73_shouldn_competition_bringing_offence,"['shouldn', 'competition', 'bringing', 'offence', 'answers', 'kidding', 'oh wait', 'knowledge', 'aren', 'telling']","['You’re kidding. Shouldn’t the question be why aren’t you?', 'The objective of the competition is to give correct answers, if I know them, why shouldn’t I give them?', 'The objective of the competition is to give correct answers, if I know them, why shouldn’t I give them?']"
74,49,74_spock_rock_paper_mr,"['spock', 'rock', 'paper', 'mr', 'enterprise', 'emotion', 'eats', 'pull', 'action figure', 'human']","['It’s very simple. Look, scissors cuts paper. Paper covers rock. Rock crushes lizard. Lizard poisons Spock. Spock smashes scissors. Scissors decapitates lizard. Lizard eats paper. Paper disproves Spock. Spock vaporizes rock. And as it always has, rock crushes scissors.', 'Oh, it’s very simple. Scissors cuts paper, paper covers rock, rock crushes lizard, lizard poisons Spock, Spock smashes scissors, scissors decapitates lizard, lizard eats paper, paper disproves Spock, Spock vaporizes rock, and as it always has, rock crushes scissors.', 'Well, of course. Scissors cuts paper, paper covers rock, rock crushes lizard, lizard poisons Spock, Spock smashes scissors, scissors decapitates lizard, lizard eats paper, paper disproves Spock, Spock vaporizes rock, and as it always has, rock crushes scissors.']"
